StoreID	Address	City	ZipCode	County
2697	1006 S. Country Road	Toledo	52342	TAMA
2698	665 SOUTH 51ST STREET	West Des Moines	50265	POLK
2699	1710 SW ORALABOR ROAD	Ankeny	50023	POLK
2700	3402 Main Street	Emmetsburg	50536	PALO ALTO
2702	414 N Ankeny Blvd	Ankeny	50023	POLK
2704	1345 S Frederick Ave	Oelwein	50662	FAYETTE
2705	22422 Hwy 9	Cresco	52349	HOWARD
2706	5169 Merle Hay Rd	Johnston	50131	POLK
2707	9915 Douglas Ave	Urbandale	50322	POLK
2708	7220 Hickman Rd	Windsor Heights	50324	POLK
2709	2435 NW Arterial	Dubuque	52002	DUBUQUE
2710	1027 N Quincy Ave	Ottumwa	52501	Wapello
2711	2457 N Court St	Ottumwa	52501	Wapello
2712	915 Short St #107	Decorah	52101	WINNESHIEK
2713	1201 12th Ave SE	Dyersville	52040	DUBUQUE
2714	911 S. K Ave	Vinton	52349	BENTON
2715	1426 Broadway	Denison	51442	CRAWFORD
2716	808 4th St SE	Hampton	50441	FRANKLIN
2718	819 11th Ave SW	Waukon	52172	ALLAMAKEE
2719	2855 Grand Prairie Parkway	Waukee	50263	Dallas
2720	7280 University Ave	West Des Moines	50266	Dallas
2721	300 S Locust	Dubuque	52003	DUBUQUE
2806	1307 N Second	Clinton	52732	CLINTON
2835	2302 West First St	Cedar Falls	50613	BLACK HAWK
2836	205 Franklin St	Waterloo	50703	BLACK HAWK
2837	1825 E San Marnan	Waterloo	50702	BLACK HAWK
2839	1777 Division St	Davenport	52804	SCOTT
2840	2002 Spruce Hills Dr	Bettendorf	52722	SCOTT
2841	2711 Mt Vernon Rd	Cedar Rapids	52403	LINN
2843	4116 Center Pointe Rd	Cedar Rapids	52402	LINN
2844	2425 Muscatine Ave	Iowa City	52240	JOHNSON
2845	545 W Washington St	Council Bluffs	51503	POTTAWATTA
2846	3419 16th Ave SW	Cedar Rapids	52404	LINN
2847	"3499, 7th Ave"	Marion	52302	LINN
2848	104 E First St	Ankeny	50023	POLK
2849	3151 SE 14th St	Des Moines	50320	POLK
2850	215 E Euclid Ave	Des Moines	50313	POLK
2851	2029 5th Ave South	Fort Dodge	50501	WEBSTER
2852	2303 Merle Hay Rd	Des Moines	50310	POLK
2853	2420 Lincoln Way	Ames	50014	STORY
2854	14201 Hickman Rd	Urbandale	50323	POLK
3041	28 E Howard	Colfax	50054	JASPER
3045	8 2nd St NW	Britt	50423	HANCOCK
3054	1026 Main	Grinnell	50112	POWESHIEK
3065	201 S Front St	Montezuma	50171	POWESHIEK
3354	3845 Elmore Ave.	Davenport	52807	SCOTT
3385	2605 Blairs Ferry Rd NE	Cedar Rapids	52402	LINN
3390	1610 Okoboji Avenue	Milford	51351	DICKINSON
3403	103 Walnut St. E	Columbus Junction	52738	LOUISA
3417	Po Box 261  310 W Dillon	Marengo	52301	IOWA
3420	1101  73rd St	Windsor Heights	50311	POLK
3443	1141 N Broadway	Council Bluffs	51503	POTTAWATTA
3447	4201 S. York St.	Sioux City	51106	WOODBURY
3456	904 N 8th St	ClearLake	50428	CERRO GORD
3461	607 S Division St	Stuart	50250	GUTHRIE
3465	601 E Main	Panora	50216	GUTHRIE
3477	3221 Manawa Centre Dr	Council Bluffs	51501	POTTAWATTA
3484	110 W Cedar St	Marcus	51035	CHEROKEE
3488	400 S Second	Bellevue	52031	JACKSON
3494	210 East Tower Park Dr	Waterloo	50702	BLACK HAWK
3514	328  2nd Ave S	Fort Dodge	50501	WEBSTER
3521	2200 River Road	Council Bluffs	51501	POTTAWATTA
3524	305 Airport Rd	Ames	50010	STORY
3525	106 W 2nd St	Washington	52353	WASHINGTON
3528	3450  4th St SW	Mason City	50401	CERRO GORD
3540	5225 Elmore Ave	Davenport	52807	SCOTT
3542	244 W 4TH ST	St Ansgar	50472	MITCHELL
3549	1414 48th St	Fort Madison	52627	LEE
3562	324 West Agency Rd	West Burlington	52655	DES MOINES
3563	3003 North Hwy 61	Muscatine	52761	MUSCATINE
3565	701 Mormon Trek Blvd	Iowa City	52246	JOHNSON
3592	3036 1st Ave South	Fort Dodge	50501	HARDIN
3611	403 E 6th	Logan	51546	HARRISON
3612	509 E Platt	Maquoketa	52060	JACKSON
3618	3601 29th Ave SW	Cedar Rapids	52404	LINN
3622	2600 Hwy 71	Spirit Lake	51360	DICKINSON
3624	300 Iowa Speedway Dr	Newton	50208	JASPER
3625	1002 SE National Dr	Ankeny	50021	POLK
3626	500  11th St	Spencer	51301	CLAY
3628	2645 Blairs Ferry Rd NE	Cedar Rapids	52402	LINN
3629	3200 Manawa Dr	Council Bluffs	51503	POTTAWATTA
3632	4200 Dodge St	Dubuque	52003	DUBUQUE
3644	3501  8th St SW	Altoona	50009	POLK
3645	1001  73rd St	Windsor Heights	50311	POLK
3647	2715 South 25th St	Clinton	52732	CLINTON
3650	118 South Main St.	Holstein	51025	IDA
3651	1500 North Jefferson	Indianola	50125	WARREN
3652	604 W 2nd	Ida Grove	51445	IDA
3654	207 E Main St	Belmond	50421	WRIGHT
3656	2135 SE Delaware Ave	Ankeny	50021	POLK
3660	814 W Bell Ave	Knoxville	50138	MARION
3663	1334 Flammang Dr	Waterloo	50702	BLACK HAWK
3664	90 10th St S	Northwood	50459	WORTH
3666	3400 Edgewood Rd SW	Cedar Rapids	52404	LINN
3670	2801 Commerce Dr	Coralville	52241	JOHNSON
3678	1918 SE 14th St	Des Moines	50320	POLK
3679	103 Franklin St	Monona	52159	CLAYTON
3682	110 E Main St	Wesley	50483	KOSSUTH
3690	1501 E San Marnan	Waterloo	50702	BLACK HAWK
3691	11148 Plum Dr	Urbandale	50322	POLK
3695	623 S Marion St	Remsen	51050	PLYMOUTH
3696	5101 SE 14th St	Des Moines	50315	POLK
3698	1300  50th St	West Des Moines	50266	POLK
3704	1122 Broadway	Emmetsburg	50536	PALO ALTO
3705	507 1st Ave #100	Rock Rapids	51246	LYON
3707	1030 Blairs Ferry Rd NE	Cedar Rapids	52402	LINN
3710	219 Main St	Columbus Junction	52738	LOUISA
3712	109 N 4th St	Montezuma	50171	POWESHIEK
3713	4151  4th St SW	Mason City	50401	CERRO GORD
3715	1714 E Kimberly Rd	Davenport	52807	SCOTT
3717	201 W 1st St	Sumner	50674	BREMER
3719	2802 S Center St	Marshalltown	50158	MARSHALL
3721	1798 Old Stage Rd	Decorah	52101	WINNESHIEK
3722	3400 Singing Hills Blvd	Sioux City	51106	WOODBURY
3723	1023  9th St	Onawa	51040	MONONA
3726	1940 Venture Dr	Ottumwa	52501	Wapello
3728	726 Creek Top	Council Bluffs	51503	POTTAWATTA
3731	5811 Elmore Ave	Davenport	52807	SCOTT
3732	425 E Leclaire Rd	Eldridge	52748	SCOTT
3738	2225 Central Ave	Dubuque	52001	DUBUQUE
3742	1111 Holton Dr	Le Mars	51031	PLYMOUTH
3744	733 16th Ave SE	Dyersville	52040	DUBUQUE
3749	1831 Lake Ave NW	Storm Lake	50588	BUENA VIST
3756	316 Main St	Manning	51455	CARROLL
3757	3101 Floyd Blvd	Sioux City	51108	WOODBURY
